Name	Description
ENSG00000183386.5	FHL3
ENSG00000174574.11	AKIRIN1
ENSG00000168653.6	NDUFS5
ENSG00000127603.19	MACF1
ENSG00000090621.9	PABPC4
ENSG00000163909.6	HEYL
ENSG00000131236.12	CAP1
ENSG00000131238.12	PPT1
ENSG00000084073.4	ZMPSTE24
ENSG00000084070.7	SMAP2
ENSG00000066136.15	NFYC
ENSG00000010803.12	SCMH1
ENSG00000127125.7	PPCS
ENSG00000065978.13	YBX1
ENSG00000117394.15	SLC2A1
ENSG00000117395.6	EBNA1BP2
ENSG00000066322.8	ELOVL1
ENSG00000159479.12	MED8
ENSG00000142949.12	PTPRF
ENSG00000117408.6	IPO13
ENSG00000117410.9	ATP6V0B
ENSG00000117411.12	B4GALT2
ENSG00000117419.10	ERI3
ENSG00000142937.7	RPS8
ENSG00000126107.10	HECTD3
ENSG00000126088.8	UROD
ENSG00000117450.9	PRDX1
ENSG00000117448.9	AKR1A1
ENSG00000132780.12	NASP
ENSG00000159592.6	GPBP1L1
ENSG00000086015.16	MAST2
ENSG00000117472.5	TSPAN1
ENSG00000085998.9	POMGNT1
ENSG00000132128.12	LRRC41
ENSG00000173660.7	UQCRH
ENSG00000079277.15	MKNK1
ENSG00000123472.8	ATPAF1
ENSG00000159658.6	EFCAB14
ENSG00000142973.8	CYP4B1
ENSG00000162366.3	PDZK1IP1
ENSG00000162368.9	CMPK1
ENSG00000123091.4	RNF11
ENSG00000085832.12	EPS15
ENSG00000117859.14	OSBPL9
ENSG00000078618.15	NRD1
ENSG00000117862.7	TXNDC12
ENSG00000121310.12	ECHDC2
ENSG00000116171.12	SCP2
ENSG00000174348.9	PODN
ENSG00000162384.9	C1orf123
ENSG00000116209.7	TMEM59
ENSG00000116221.11	MRPL37
ENSG00000157216.11	SSBP3
ENSG00000243725.2	TTC4
ENSG00000116133.7	DHCR24
ENSG00000162407.8	PPAP2B
ENSG00000184292.5	TACSTD2
ENSG00000177606.5	JUN
ENSG00000079739.11	PGM1
ENSG00000162434.7	JAK1
ENSG00000213625.4	LEPROT
ENSG00000142864.10	SERBP1
ENSG00000116717.7	GADD45A
ENSG00000172380.5	GNG12
ENSG00000116729.9	WLS
ENSG00000116754.9	SRSF11
ENSG00000132485.8	ZRANB2
ENSG00000117054.9	ACADM
ENSG00000077254.10	USP33
ENSG00000162614.14	NEXN
ENSG00000162613.12	FUBP1
ENSG00000162616.8	DNAJB4
ENSG00000117133.6	RPF1
ENSG00000174021.6	GNG5
ENSG00000142871.11	CYR61
ENSG00000016602.8	CLCA4
ENSG00000097033.10	SH3GLB1
ENSG00000183291.11	SEP15
ENSG00000143013.8	LMO4
ENSG00000137944.12	CCBL2
ENSG00000162645.8	GBP2
ENSG00000069702.6	TGFBR3
ENSG00000122406.8	RPL5
ENSG00000117525.9	F3
ENSG00000117519.11	CNN3
ENSG00000099260.6	PALMD
ENSG00000156875.9	HIAT1
ENSG00000170989.8	S1PR1
ENSG00000185946.11	RNPC3
ENSG00000240038.2	AMY2B
ENSG00000243480.3	AMY2A
ENSG00000134186.7	PRPF38B
ENSG00000197780.5	TAF13
ENSG00000215717.5	TMEM167B
ENSG00000031698.8	SARS
ENSG00000134243.7	SORT1
ENSG00000065135.7	GNAI3
ENSG00000116337.11	AMPD2
ENSG00000213366.8	GSTM2
ENSG00000134184.8	GSTM1
ENSG00000134202.6	GSTM3
ENSG00000184371.9	CSF1
ENSG00000168710.13	AHCYL1
ENSG00000134248.9	LAMTOR5
ENSG00000143119.8	CD53
ENSG00000116459.6	ATP5F1
ENSG00000116473.10	RAP1A
ENSG00000116489.8	CAPZA1
ENSG00000155366.12	RHOC
ENSG00000116774.7	OLFML3
ENSG00000116752.5	BCAS2
ENSG00000009307.11	CSDE1
ENSG00000134200.2	TSHB
ENSG00000118729.10	CASQ2
ENSG00000163399.11	ATP1A1
ENSG00000203859.5	HSD3B2
ENSG00000134240.7	HMGCS2
ENSG00000269996.1	RP11-343N15.5
ENSG00000178104.15	PDE4DIP
ENSG00000223380.3	SEC22B
ENSG00000117289.7	TXNIP
ENSG00000121851.8	POLR3GL
ENSG00000152022.7	LIX1L
ENSG00000131795.8	RBM8A
ENSG00000131779.6	PEX11B
ENSG00000131788.11	PIAS3
ENSG00000131778.13	CHD1L
ENSG00000184678.8	HIST2H2BE
ENSG00000143368.9	SF3B4
ENSG00000023902.9	PLEKHO1
ENSG00000143401.10	ANP32E
ENSG00000117362.8	APH1A
ENSG00000187145.10	MRPS21
ENSG00000117360.8	PRPF3
ENSG00000143369.10	ECM1
ENSG00000143382.9	ADAMTSL4
ENSG00000143384.8	MCL1
ENSG00000143420.13	ENSA
ENSG00000163131.6	CTSS
ENSG00000143387.8	CTSK
ENSG00000143437.16	ARNT
ENSG00000143418.15	CERS2
ENSG00000197622.8	CDC42SE1
ENSG00000163159.7	VPS72
ENSG00000143398.15	PIP5K1A
ENSG00000159352.11	PSMD4
ENSG00000143393.12	PI4KB
ENSG00000143416.16	SELENBP1
ENSG00000159377.6	PSMB4
ENSG00000143442.17	POGZ
ENSG00000143436.6	MRPL9
ENSG00000197747.4	S100A10
ENSG00000163191.5	S100A11
ENSG00000143631.10	FLG
ENSG00000143520.6	FLG2
ENSG00000143536.7	CRNN
ENSG00000169509.5	CRCT1
ENSG00000159455.7	LCE2B
ENSG00000198854.4	C1orf68
ENSG00000203786.5	KPRP
ENSG00000197084.4	LCE1C
ENSG00000186844.4	LCE1A
ENSG00000163206.5	SMCP
ENSG00000163207.5	IVL
ENSG00000169474.3	SPRR1A
ENSG00000163209.10	SPRR3
ENSG00000169469.7	SPRR1B
ENSG00000163216.6	SPRR2D
ENSG00000241794.1	SPRR2A
ENSG00000203785.4	SPRR2E
ENSG00000159516.8	SPRR2G
ENSG00000203784.2	LELP1
ENSG00000203782.5	LOR
ENSG00000163220.10	S100A9
ENSG00000163221.7	S100A12
ENSG00000143546.5	S100A8
ENSG00000143556.4	S100A7
ENSG00000197956.5	S100A6
ENSG00000196154.7	S100A4
ENSG00000196754.6	S100A2
ENSG00000188643.6	S100A16
ENSG00000189334.4	S100A14
ENSG00000189171.9	S100A13
ENSG00000160679.8	CHTOP
ENSG00000143553.6	SNAPIN
ENSG00000143621.12	ILF2
ENSG00000169418.9	NPR1
ENSG00000143624.9	INTS3
ENSG00000143554.9	SLC27A3
ENSG00000198837.5	DENND4B
ENSG00000160741.12	CRTC2
ENSG00000143570.13	SLC39A1
ENSG00000143543.10	JTB
ENSG00000143545.4	RAB13
ENSG00000177954.7	RPS27
ENSG00000143549.15	TPM3
ENSG00000143612.14	C1orf43
ENSG00000143569.14	UBAP2L
ENSG00000143575.10	HAX1
ENSG00000143515.12	ATP8B2
ENSG00000160714.5	UBE2Q1
ENSG00000160710.11	ADAR
ENSG00000163344.5	PMVK
ENSG00000163346.12	PBXIP1
ENSG00000163348.3	PYGO2
ENSG00000160691.14	SHC1
ENSG00000160685.9	ZBTB7B
ENSG00000143537.9	ADAM15
ENSG00000169242.7	EFNA1
ENSG00000169241.13	SLC50A1
ENSG00000179085.7	DPM3
ENSG00000163463.7	KRTCAP2
ENSG00000185499.12	MUC1
ENSG00000169231.9	THBS3
ENSG00000116521.6	SCAMP3
ENSG00000176444.14	CLK2
ENSG00000160752.10	FDPS
ENSG00000163374.15	YY1AP1
ENSG00000132676.11	DAP3
ENSG00000132718.7	SYT11
ENSG00000132680.6	KIAA0907
ENSG00000116584.13	ARHGEF2
ENSG00000163479.9	SSR2
ENSG00000160803.7	UBQLN4
ENSG00000116586.7	LAMTOR2
ENSG00000132698.9	RAB25
ENSG00000160789.15	LMNA
ENSG00000160783.15	PMF1
ENSG00000160781.11	PAQR6
ENSG00000198952.7	SMG5
ENSG00000163468.10	CCT3
ENSG00000116604.13	MEF2D
ENSG00000163382.7	APOA1BP
ENSG00000160818.12	GPATCH4
ENSG00000132688.10	NES
ENSG00000143320.4	CRABP2
ENSG00000143314.8	MRPL24
ENSG00000143321.14	HDGF
ENSG00000143294.10	PRCC
ENSG00000163563.7	MNDA
ENSG00000163565.14	IFI16
ENSG00000162706.8	CADM3
ENSG00000213088.5	DARC
ENSG00000132703.3	APCS
ENSG00000132693.8	CRP
ENSG00000158716.4	DUSP23
ENSG00000158710.10	TAGLN2
ENSG00000162729.9	IGSF8
ENSG00000018625.10	ATP1A2
ENSG00000143318.8	CASQ1
ENSG00000162734.8	PEA15
ENSG00000132716.14	DCAF8
ENSG00000162735.14	PEX19
ENSG00000122218.10	COPA
ENSG00000162736.11	NCSTN
ENSG00000179914.4	ITLN1
ENSG00000158769.13	F11R
ENSG00000215845.6	TSTD1
ENSG00000158773.10	USF1
ENSG00000143256.4	PFDN2
ENSG00000158796.12	DEDD
ENSG00000143222.7	UFC1
ENSG00000143258.11	USP21
ENSG00000158850.10	B4GALT3
ENSG00000158864.8	NDUFS2
ENSG00000158869.6	FCER1G
ENSG00000158874.7	APOA2
ENSG00000158887.11	MPZ
ENSG00000143252.10	SDHC
ENSG00000143226.9	FCGR2A
ENSG00000173110.6	HSPA6
ENSG00000203747.5	FCGR3A
ENSG00000162747.5	FCGR3B
ENSG00000117143.9	UAP1
ENSG00000162733.12	DDR2
ENSG00000143248.8	RGS5
ENSG00000143198.8	MGST3
ENSG00000143149.8	ALDH9A1
ENSG00000143183.12	TMCO1
ENSG00000143162.7	CREG1
ENSG00000197965.7	MPZL1
ENSG00000143158.6	MPC2
ENSG00000143164.11	DCAF6
ENSG00000143196.4	DPT
ENSG00000143153.8	ATP1B1
ENSG00000188404.4	SELL
ENSG00000094963.9	FMO2
ENSG00000117523.11	PRRC2C
ENSG00000034971.10	MYOC
ENSG00000117592.8	PRDX6
ENSG00000234741.3	GAS5
ENSG00000116161.13	CACYBP
ENSG00000116260.12	QSOX1
ENSG00000162783.8	IER5
ENSG00000135821.12	GLUL
ENSG00000135829.12	DHX9
ENSG00000135862.5	LAMC1
ENSG00000116698.16	SMG7
ENSG00000116701.10	NCF2
ENSG00000162704.11	ARPC5
ENSG00000135842.12	FAM129A
ENSG00000116679.11	IVNS1ABP
ENSG00000047410.9	TPR
ENSG00000090104.7	RGS1
ENSG00000116741.6	RGS2
ENSG00000272579.1	RP11-101E13.5
ENSG00000000971.11	CFH
ENSG00000151414.10	NEK7
ENSG00000116857.12	TMEM9
ENSG00000081277.7	PKP1
ENSG00000118194.14	TNNT2
ENSG00000159166.9	LAD1
ENSG00000159173.14	TNNI1
ENSG00000174307.5	PHLDA3
ENSG00000159176.9	CSRP1
ENSG00000198892.6	SHISA4
ENSG00000163431.11	LMOD1
ENSG00000134375.6	TIMM17A
ENSG00000176393.6	RNPEP
ENSG00000143862.3	ARL8A
ENSG00000077157.16	PPP1R12B
ENSG00000159346.8	ADIPOR1
ENSG00000159348.8	CYB5R1
ENSG00000133048.8	CHI3L1
ENSG00000159388.5	BTG2
ENSG00000122176.10	FMOD
ENSG00000188783.5	PRELP
ENSG00000058668.10	ATP2B4
ENSG00000058673.11	ZC3H11A
ENSG00000182004.8	SNRPE
ENSG00000158615.8	PPP1R15B
ENSG00000069275.12	NUCKS1
ENSG00000143486.11	EIF2D
ENSG00000162889.6	MAPKAPK2
ENSG00000224114.1	RP11-343H5.4
ENSG00000162896.5	PIGR
ENSG00000196352.9	CD55
ENSG00000117335.14	CD46
ENSG00000174059.12	CD34
ENSG00000230937.5	MIR205HG
ENSG00000123689.5	G0S2
ENSG00000066027.7	PPP2R5A
ENSG00000117691.5	NENF
ENSG00000162772.12	ATF3
ENSG00000136636.8	KCTD3
ENSG00000136628.13	EPRS
ENSG00000067704.8	IARS2
ENSG00000218283.2	MORF4L1P1
ENSG00000162817.6	C1orf115
ENSG00000162909.13	CAPN2
ENSG00000143753.8	DEGS1
ENSG00000162923.10	WDR26
ENSG00000143742.8	SRP9
ENSG00000143819.8	EPHX1
ENSG00000242861.1	RP11-285F7.2
ENSG00000143811.12	PYCR2
ENSG00000163041.5	H3F3A
ENSG00000182827.8	ACBD3
ENSG00000143799.8	PARP1
ENSG00000143772.5	ITPKB
ENSG00000163050.12	ADCK3
ENSG00000143761.9	ARF1
ENSG00000162910.14	MRPL55
ENSG00000143774.12	GUK1
ENSG00000168159.9	RNF187
ENSG00000168118.7	RAB4A
ENSG00000143632.10	ACTA1
ENSG00000143641.8	GALNT2
ENSG00000135744.7	AGT
ENSG00000119280.12	C1orf198
ENSG00000116906.7	GNPAT
ENSG00000135766.8	EGLN1
ENSG00000116918.9	TSNAX
ENSG00000168264.6	IRF2BP2
ENSG00000173726.6	TOMM20
ENSG00000116962.10	NID1
ENSG00000077522.8	ACTN2
ENSG00000091483.6	FH
ENSG00000179456.9	ZBTB18
ENSG00000203667.5	COX20
ENSG00000153187.12	HNRNPU
ENSG00000143653.9	SCCPDH
ENSG00000227671.3	MIR3916
ENSG00000171163.11	ZNF692
ENSG00000143727.11	ACP1
ENSG00000115705.16	TPO
ENSG00000130508.6	PXDN
ENSG00000182551.9	ADI1
ENSG00000171863.8	RPS7
ENSG00000115738.5	ID2
ENSG00000119185.8	ITGB1BP1
ENSG00000134330.14	IAH1
ENSG00000134308.9	YWHAQ
ENSG00000115756.8	HPCAL1
ENSG00000115758.8	ODC1
ENSG00000143870.8	PDIA6
ENSG00000134324.7	LPIN1
ENSG00000071575.7	TRIB2
ENSG00000079785.10	DDX1
ENSG00000163032.7	VSNL1
ENSG00000240857.1	RDH14
ENSG00000068697.6	LAPTM4A
ENSG00000115884.6	SDC1
ENSG00000055917.11	PUM2
ENSG00000143878.8	RHOB
ENSG00000115128.6	SF3B14
ENSG00000138031.10	ADCY3
ENSG00000115138.6	POMC
ENSG00000084733.6	RAB10
ENSG00000084754.6	HADHA
ENSG00000138029.9	HADHB
ENSG00000084764.6	MAPRE3
ENSG00000119777.14	TMEM214
ENSG00000228474.1	OST4
ENSG00000138080.9	EMILIN1
ENSG00000138073.9	PREB
ENSG00000138085.12	ATRAID
ENSG00000138100.9	TRIM54
ENSG00000115207.9	GTF3C2
ENSG00000115211.11	EIF2B4
ENSG00000115234.6	SNX17
ENSG00000163795.9	ZNF513
ENSG00000115241.9	PPM1G
ENSG00000115216.9	NRBP1
ENSG00000115226.5	FNDC4
ENSG00000243943.5	ZNF512
ENSG00000198522.9	GPN1
ENSG00000119760.11	SUPT7L
ENSG00000243147.3	MRPL33
ENSG00000158019.16	BRE
ENSG00000075426.7	FOSL2
ENSG00000213639.5	PPP1CB
ENSG00000119801.8	YPEL5
ENSG00000162961.9	DPY30
ENSG00000049323.11	LTBP1
ENSG00000119812.14	FAM98A
ENSG00000150938.5	CRIM1
ENSG00000171055.10	FEZ2
ENSG00000119787.9	ATL2
ENSG00000115875.14	SRSF7
ENSG00000188010.8	MORN2
ENSG00000152154.6	TMEM178A
ENSG00000162878.8	PKDCC
ENSG00000115944.10	COX7A2L
ENSG00000152518.5	ZFP36L2
ENSG00000138095.14	LRPPRC
ENSG00000138032.16	PPM1B
ENSG00000138078.11	PREPL
ENSG00000116016.9	EPAS1
ENSG00000119729.6	RHOQ
ENSG00000180398.7	MCFD2
ENSG00000143933.12	CALM2
ENSG00000119888.6	EPCAM
ENSG00000068912.9	ERLEC1
ENSG00000115306.11	SPTBN1
ENSG00000238018.1	AC093110.3
ENSG00000115310.13	RTN4
ENSG00000143947.8	RPS27A
ENSG00000163001.7	CCDC104
ENSG00000115380.14	EFEMP1
ENSG00000173209.18	AHSA2
ENSG00000082898.12	XPO1
ENSG00000115484.10	CCT4
ENSG00000014641.13	MDH1
ENSG00000169764.10	UGP2
ENSG00000197329.7	PELI1
ENSG00000138069.12	RAB1A
ENSG00000138071.9	ACTR2
ENSG00000221823.6	PPP3R1
ENSG00000115956.9	PLEK
ENSG00000169605.5	GKN1
ENSG00000169604.15	ANTXR1
ENSG00000196975.10	ANXA4
ENSG00000059728.6	MXD1
ENSG00000244617.1	ASPRV1
ENSG00000169564.5	PCBP1
ENSG00000116001.11	TIA1
ENSG00000116005.7	PCYOX1
ENSG00000143977.9	SNRPG
ENSG00000144043.7	TEX261
ENSG00000124357.8	NAGK
ENSG00000116096.5	SPR
ENSG00000135617.3	PRADC1
ENSG00000135624.11	CCT7
ENSG00000163017.9	ACTG2
ENSG00000114956.15	DGUOK
ENSG00000163170.7	BOLA3
ENSG00000114978.13	MOB1A
ENSG00000065911.7	MTHFD2
ENSG00000204843.8	DCTN1
ENSG00000115274.10	INO80B
ENSG00000239779.2	WBP1
ENSG00000115275.7	MOGS
ENSG00000115307.12	AUP1
ENSG00000115317.7	HTRA2
ENSG00000115350.7	POLE4
ENSG00000143954.8	REG3G
ENSG00000172023.3	REG1B
ENSG00000115386.5	REG1A
ENSG00000172016.11	REG3A
ENSG00000163541.7	SUCLG1
ENSG00000034510.4	TMSB10
ENSG00000152291.9	TGOLN2
ENSG00000042445.9	RETSAT
ENSG00000042493.11	CAPG
ENSG00000168906.8	MAT2A
ENSG00000118640.6	VAMP8
ENSG00000168899.4	VAMP5
ENSG00000168894.5	RNF181
ENSG00000168883.15	USP39
ENSG00000168878.12	SFTPB
ENSG00000132305.16	IMMT
ENSG00000115561.10	CHMP3
ENSG00000239305.2	RNF103
ENSG00000172086.7	KRCC1
ENSG00000163586.5	FABP1
ENSG00000211593.2	IGKJ5
ENSG00000211594.2	IGKJ4
ENSG00000211595.2	IGKJ3
ENSG00000211598.2	IGKV4-1
ENSG00000243466.1	IGKV1-5
ENSG00000241351.1	IGKV3-11
ENSG00000244437.1	IGKV3-15
ENSG00000239951.1	IGKV3-20
ENSG00000172005.6	MAL
ENSG00000144029.7	MRPS5
ENSG00000158050.4	DUSP2
ENSG00000084090.9	STARD7
ENSG00000135956.4	TMEM127
ENSG00000144021.2	CIAO1
ENSG00000144028.10	SNRNP200
ENSG00000196843.11	ARID5A
ENSG00000114982.13	KANSL3
ENSG00000168758.6	SEMA4C
ENSG00000135940.2	COX5B
ENSG00000115073.6	ACTR1B
ENSG00000183513.4	COA5
ENSG00000115446.7	UNC50
ENSG00000158417.6	EIF5B
ENSG00000071082.6	RPL31
ENSG00000158435.3	CNOT11
ENSG00000163162.4	RNF149
ENSG00000071054.11	MAP4K4
ENSG00000115590.9	IL1R2
ENSG00000115594.7	IL1R1
ENSG00000135972.4	MRPS9
ENSG00000115641.14	FHL2
ENSG00000071051.9	NCK2
ENSG00000119147.5	C2orf40
ENSG00000186522.10	SEPT10
ENSG00000144136.6	SLC20A1
ENSG00000136689.14	IL1RN
ENSG00000125618.12	PAX8
ENSG00000115091.7	ACTR3
ENSG00000088205.8	DDX18
ENSG00000155368.12	DBI
ENSG00000144118.9	RALB
ENSG00000155438.7	MKI67IP
ENSG00000211460.7	TSN
ENSG00000136732.10	GYPC
ENSG00000136717.10	BIN1
ENSG00000163161.8	ERCC3
ENSG00000163166.9	IWS1
ENSG00000072163.14	LIMS2
ENSG00000136699.15	SMPD4
ENSG00000152082.9	MZT2B
ENSG00000136710.5	CCDC115
ENSG00000136718.5	IMP4
ENSG00000072135.8	PTPN18
ENSG00000152102.13	FAM168B
ENSG00000115762.12	PLEKHB2
ENSG00000173272.9	MZT2A
ENSG00000152117.13	AC093838.4
ENSG00000144224.12	UBXN4
ENSG00000115866.6	DARS
ENSG00000121966.6	CXCR4
ENSG00000168280.12	KIF5C
ENSG00000168288.8	MMADHC
ENSG00000115963.9	RND3
ENSG00000183091.15	NEB
ENSG00000157827.15	FMNL2
ENSG00000153234.9	NR4A2
ENSG00000144283.17	PKP4
ENSG00000163331.6	DAPL1
ENSG00000136536.10	MARCH7
ENSG00000153250.13	RBMS1
ENSG00000115233.7	PSMD14
ENSG00000115271.6	GCA
ENSG00000239474.2	KLHL41
ENSG00000138385.11	SSB
ENSG00000138382.9	METTL5
ENSG00000115806.8	GORASP2
ENSG00000071967.7	CYBRD1
ENSG00000077380.11	DYNC1I2
ENSG00000115840.9	SLC25A12
ENSG00000091409.10	ITGA6
ENSG00000091436.12	MLTK
ENSG00000138433.11	CIR1
ENSG00000235655.2	H3F3AP4
ENSG00000128656.9	CHN1
ENSG00000154518.5	ATP5G3
ENSG00000128654.9	MTX2
ENSG00000170144.14	HNRNPA3
ENSG00000116044.11	NFE2L2
ENSG00000180228.8	PRKRA
ENSG00000170035.11	UBE2E3
ENSG00000138434.12	SSFA2
ENSG00000162998.4	FRZB
ENSG00000065548.13	ZC3H15
ENSG00000138448.7	ITGAV
ENSG00000003436.10	TFPI
ENSG00000168542.8	COL3A1
ENSG00000204262.7	COL5A2
ENSG00000138449.6	SLC40A1
ENSG00000138381.5	ASNSD1
ENSG00000128699.9	ORMDL1
ENSG00000151689.8	INPP1
ENSG00000138386.12	NAB1
ENSG00000115419.8	GLS
ENSG00000115415.14	STAT1
ENSG00000168497.4	SDPR
ENSG00000115524.11	SF3B1
ENSG00000144381.12	HSPD1
ENSG00000115541.6	HSPE1
ENSG00000138356.9	AOX1
ENSG00000082153.13	BZW1
ENSG00000013441.11	CLK1
ENSG00000119013.4	NDUFB3
ENSG00000003402.15	CFLAR
ENSG00000115993.7	TRAK2
ENSG00000116030.12	SUMO1
ENSG00000055044.6	NOP58
ENSG00000114942.9	EEF1B2
ENSG00000138413.9	IDH1
ENSG00000168530.11	MYL1
ENSG00000115365.7	LANCL1
ENSG00000138363.10	ATIC
ENSG00000115414.14	FN1
ENSG00000079246.11	XRCC5
ENSG00000197756.5	RPL37A
ENSG00000115457.5	IGFBP2
ENSG00000115461.4	IGFBP5
ENSG00000118245.2	TNP1
ENSG00000079308.12	TNS1
ENSG00000163464.7	CXCR1
ENSG00000163466.11	ARPC2
